ANO,UF,MUNICIPIO,NOME_MUNICIPIO,COD_ESCOLA,NOME_ESCOLA,REDE,IDEB,NIVEL
2017,BA,2927408,Salvador,29404304,EE - COLEGIO ESTADUAL FILADELFIA,Estadual,NA,EM
2017,BA,2927408,Salvador,29404320,EE - COLEGIO ESTADUAL PROFESSOR FELIPE BUSQUET ANGLADA,Estadual,NA,EM
2017,BA,2927408,Salvador,29404339,EE - COLEGIO ESTADUAL PROFESSORA MARIA DE LOURDES PARADA FRANCH,Estadual,NA,EM
2017,BA,2927408,Salvador,29404371,EE - COLEGIO ESTADUAL PROFESSOR ARISTIDES DE SOUZA OLIVEIRA,Estadual,2.4,EM
2017,BA,2927408,Salvador,29404762,EE - COLEGIO ESTADUAL 15 DE NOVEMBRO,Estadual,NA,EM
2017,BA,2927408,Salvador,29404991,EE - COLEGIO ESTADUAL 29 DE MARCO,Estadual,NA,EM
2017,BA,2927408,Salvador,29411491,EE - COLEGIO ESTADUAL PROFESSORA MARIA BERNADETE BRANDAO,Estadual,NA,EM
2017,BA,2927408,Salvador,29414903,EE - COLEGIO ESTADUAL DE PLATAFORMA,Estadual,NA,EM
2017,BA,2927408,Salvador,29422256,VITORIA-REGIA CENTRO EDUCACIONAL,Privada,6,EM
2017,BA,2927408,Salvador,29422272,CENTRO EDUCACIONAL VILLA LOBOS,Privada,6.8,EM
2017,BA,2927408,Salvador,29427347,COLEGIO ADVENTISTA DE CASTELO BRANCO,Privada,5.1,EM
2017,BA,2927408,Salvador,29427428,EE - COLEGIO ESTADUAL DE PAU DA LIMA,Estadual,NA,EM
2017,BA,2927408,Salvador,29428181,EE - COLEGIO ESTADUAL LANDULFO ALVES,Estadual,NA,EM
2017,BA,2927408,Salvador,29436877,EE - COLEGIO ESTADUAL SATELITE,Estadual,3.7,EM
2017,BA,2927408,Salvador,29437377,EE - COLEGIO DA POLICIA MILITAR - UNIDADE II CPM LOBATO,Estadual,NA,EM
2017,BA,2927408,Salvador,29437598,EE - COLEGIO ESTADUAL SAO DANIEL COMBONI,Estadual,NA,EM
2017,BA,2927408,Salvador,29438934,EE - COLEGIO ESTADUAL MESTRE PAULO DOS ANJOS,Estadual,2.8,EM
2017,BA,2927408,Salvador,29441676,COLEGIO AUGUSTO COMTE,Privada,4.5,EM
