UF;MUNICIPIO;NOME_MUNICIPIO;COD_ESCOLA;NOME_ESCOLA;REDE;TXAPROV_TOTAL_2017;TXAPROV_SERIE1_2017;TXAPROV_SERIE2_2017;TXAPROV_SERIE3_2017;TXAPROV_SERIE4_2017;P_2017;TXAPROV_TOTAL_2019;TXAPROV_SERIE1_2019;TXAPROV_SERIE2_2019;TXAPROV_SERIE3_2019;TXAPROV_SERIE4_2019;P_2019;SAEB_MAT_2017;SAEB_PORT_2017;N_2017;SAEB_MAT_2019;SAEB_PORT_2019;N_2019;IDEB_2017;IDEB_2019
BA;2927408;Salvador;29188270;EE - COLEGIO ESTADUAL SANTA RITA DE CASSIA;Estadual;77.4;78.5;82.9;67.3;NA;0.756422;71.6;83.6;55.9;76.3;NA;0.698373;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29188601;EE - COLEGIO ESTADUAL VITOR SOARES;Estadual;72.9;62.9;82.8;77.2;NA;0.732978;76.9;68.3;82.3;83.6;NA;0.77412;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29188792;EE - COLEGIO ESTADUAL ARTUR DE SALES;Estadual;78;72.2;80.2;87.8;NA;0.795571;75.9;66.3;83.5;87.5;NA;0.779472;ND;ND;NA;249.49;260.75;4.09703;NA;3.2
BA;2927408;Salvador;29188903;EE - COLEGIO ESTADUAL ABILIO CESAR BORGES;Estadual;66.4;58.1;68.4;87.2;NA;0.692849;86.4;NA;83.1;90.8;NA;0.867795;ND;ND;NA;257.43;271.27;4.366032;NA;3.8
BA;2927408;Salvador;29189012;EE - COLEGIO ESTADUAL DOUTOR AILTON PINTO DE ANDRADE;Estadual;62.2;45.5;75.8;68.3;57.9;0.596276;78;77.1;64.8;90.7;85;0.781367;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29189047;EE - COLEGIO ESTADUAL ALBERTO VALENCA - TEMPO INTEGRAL;Estadual;59.6;50.6;50;91.2;NA;0.591392;79.1;70.2;78.6;92.5;NA;0.794103;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29189241;EE - COLEGIO ESTADUAL ANFRISIA SANTIAGO - TEMPO INTEGRAL;Estadual;83.2;75.4;85.9;89.9;NA;0.832697;87.7;87.6;87.9;87.8;NA;0.877665;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29189454;EE - COLEGIO ESTADUAL ASSIS CHATEAUBRIAND;Estadual;53.4;50.2;55.3;56.6;NA;0.538877;64.7;51.5;69.2;74.6;NA;0.634609;ND;ND;NA;ND;ND;NA;NA;NA
BA;2927408;Salvador;29190002;EE - COLEGIO ESTADUAL CELINA PINHO - CLASSE VIII;Estadual;52.2;64.6;50;38.9;NA;0.490302;NA;NA;NA;NA;NA;NA;ND;ND;NA;NA;NA;NA;NA;NA
BA;2927408;Salvador;29190363;EE - COLEGIO ESTADUAL CONSELHEIRO VICENTE PACHECO DE OLIVEIRA-TEMPO INTEGRAL;Estadual;59;45;58.3;77.1;NA;0.57312;83.2;69.8;90.6;100;NA;0.848316;262.33;276.28;4.509852;267.02;295.09;4.85731;2.6;4.1
BA;2927408;Salvador;29190738;EE - COLEGIO ESTADUAL DANTAS JUNIOR;Estadual;83.8;88.5;70.6;92;NA;0.825689;70.8;64.5;73.6;78.6;NA;0.717472;ND;ND;NA;ND;ND;NA;NA;NA
